FIPS,STABRV,STATE,WPRFS,TOTAL,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,P1,P2,P3,GRADE,P1g,P2g,P3g
20,KS,Kansas,14.8,6.5,0,3,0,0,0,0,0,0,0,0,0,0.5,0,2,0,1,0,3,0.5,3,D-,D,F,D
21,KY,Kentucky,23.1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,5,D-,F,F,C
22,LA,Louisiana,25.4,12,0,0,0,0,3,0,3,0,0,0,0,0,1,2,3,0,0,3,3,6,D+,D,D,C
23,ME,Maine,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,5,D-,F,F,C
24,MD,Maryland,12.9,14,0,3,0,0,3,3,0,0,0,0,0,0,1,2,0,1,1,9,0,5,C-,C,F,C
25,MA,Massachusetts,9.4,18.5,0,3,0,0,3,2,0,3,0,0,0,0.5,1,2,0,3,1,8,3.5,7,C,C,D,B
26,MI,Michigan,20.4,8.5,0,0,0,1,0,3,0,0,0,0,0,0.5,1,2,0,1,0,4,0.5,4,D,D,F,C
27,MN,Minnesota,8.5,11,0,0,0,3,0,2,0,0,0,0,0.5,0.5,1,2,0,1,1,5,1,5,D+,D,F,C
28,MS,Mississippi,24.3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,F,F,F,D
29,MO,Missouri,17.3,6,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,3,D-,F,F,D
30,MT,Montana,18,10.5,3,3,0,0,0,1,0,0,0,0,0,0.5,1,0,0,1,1,7,0.5,3,D+,D,F,D
31,NE,Nebraska,8.6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,F,F,F,D
32,NV,Nevada,18.3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,F,F,F,F
33,NH,New Hampshire,7.1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,3,F,F,F,D
34,NJ,New Jersey,8.8,14,0,3,0,1,0,3,3,0,0,0,0,0,1,2,0,1,0,7,3,4,C-,D,D,C
35,NM,New Mexico,26.8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,F,F,F,D
36,NY,New York,10.7,9,0,0,1,2,0,3,0,0,0,0,0,0,1,2,0,0,0,6,0,3,D,D,F,D
37,NC,North Carolina,13.3,8.5,0,0,1,1,0,0,0,0,2,0,0,0.5,0,2,0,1,1,2,2.5,4,D,F,F,C
38,ND,North Dakota,11.5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,5,D-,F,F,C
39,OH,Ohio,12.9,11,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,1,1,6,0,5,D+,D,F,C
40,OK,Oklahoma,27.3,10,0,0,0,0,3,0,3,0,0,0,0,0,1,2,0,1,0,3,3,4,D+,D,D,C
41,OR,Oregon,14.4,12,0,3,0,0,3,1,0,0,0,0,0,0,1,2,0,1,1,7,0,5,D+,D,F,C
42,PA,Pennsylvania,11.1,15,0,0,0,3,0,3,0,0,2,2,0,0,1,2,0,1,1,6,4,5,C,D,D,C
44,RI,Rhode Island,8.8,13.5,0,3,0,1,0,0,0,0,0,0,0.5,0,1,2,0,3,3,4,0.5,9,C-,D,F,B
45,SC,South Carolina,19.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,F,F,F,D
46,SD,South Dakota,16.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,F,F,F,F
47,TN,Tennessee,25.4,7,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,5,0,2,D,D,F,D
48,TX,Texas,23.2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,F,D,F,F
49,UT,Utah,15,7,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,5,0,2,D,D,F,D
50,VT,Vermont,14.3,11,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,4,0,7,D+,D,F,B
51,VA,Virginia,11,6,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,3,3,D-,F,D,D
53,WA,Washington,16,14,0,0,0,1,0,3,0,0,2,2,0.5,0.5,1,2,0,1,1,4,5,5,C-,D,D,C
54,WV,West Virginia,23.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,0,1,1,0,0.5,5,D-,F,F,C
55,WI,Wisconsin,13.5,8,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,1,2,4,2,D,F,D,D
56,WY,Wyoming,19.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,F,F,F,D
